state0,state1,rate,N
"E1","Enew1",.0508527,5414
"E1","Enew10",.0019862,212
"E1","Enew11",.000431,46
"E1","Enew12",.0008075,86
"E1","Enew13",.0021348,227
"E1","Enew14",.0012648,134
"E1","Enew15",.001429,152
"E1","Enew16",.0065618,698
"E1","Enew17",.0067501,718
"E1","Enew18",.0006733,72
"E1","Enew19",.003358,357
"E1","Enew2",.0055128,587
"E1","Enew20",.0013928,148
"E1","Enew21",.0021638,230
"E1","Enew22",.00238,253
"E1","Enew3",.0025497,271
"E1","Enew4",.0015215,162
"E1","Enew5",.0006487,69
"E1","Enew6",.0011306,120
"E1","Enew7",.0004951,53
"E1","Enew8",.0020569,219
"E1","Enew9",.0014199,151
"E1","Esame1",.8978583,95579
"E1","Esame10",0,0
"E1","Esame11",0,0
"E1","Esame12",0,0
"E1","Esame13",0,0
"E1","Esame14",0,0
"E1","Esame15",0,0
"E1","Esame16",0,0
"E1","Esame17",0,0
"E1","Esame18",0,0
"E1","Esame19",0,0
"E1","Esame2",0,0
"E1","Esame20",0,0
"E1","Esame21",0,0
"E1","Esame22",0,0
"E1","Esame3",0,0
"E1","Esame4",0,0
"E1","Esame5",0,0
"E1","Esame6",0,0
"E1","Esame7",0,0
"E1","Esame8",0,0
"E1","Esame9",0,0
"E1","U1",.0046206,492
"E1","U10",0,0
"E1","U11",0,0
"E1","U12",0,0
"E1","U13",0,0
"E1","U14",0,0
"E1","U15",0,0
"E1","U16",0,0
"E1","U17",0,0
"E1","U18",0,0
"E1","U19",0,0
"E1","U2",0,0
"E1","U20",0,0
"E1","U21",0,0
"E1","U22",0,0
"E1","U3",0,0
"E1","U4",0,0
"E1","U5",0,0
"E1","U6",0,0
"E1","U7",0,0
"E1","U8",0,0
"E1","U9",0,0
"E10","Enew1",.0050666,280
"E10","Enew10",.0640245,3536
"E10","Enew11",.0055583,307
"E10","Enew12",.0006506,36
"E10","Enew13",.0011904,66
"E10","Enew14",.0005782,32
"E10","Enew15",.0017378,96
"E10","Enew16",.002551,141
"E10","Enew17",.0054959,304
"E10","Enew18",.0000724,4
"E10","Enew19",.0004873,27
"E10","Enew2",.0019549,108
"E10","Enew20",.0004524,25
"E10","Enew21",.0010164,56
"E10","Enew22",.0007978,44
"E10","Enew3",.0009606,53
"E10","Enew4",.0006118,34
"E10","Enew5",.0010666,59
"E10","Enew6",.0015418,85
"E10","Enew7",.000306,17
"E10","Enew8",.0022257,123
"E10","Enew9",.0004897,27
"E10","Esame1",0,0
"E10","Esame10",.89732,49527
"E10","Esame11",0,0
"E10","Esame12",0,0
"E10","Esame13",0,0
"E10","Esame14",0,0
"E10","Esame15",0,0
"E10","Esame16",0,0
"E10","Esame17",0,0
"E10","Esame18",0,0
"E10","Esame19",0,0
"E10","Esame2",0,0
"E10","Esame20",0,0
"E10","Esame21",0,0
"E10","Esame22",0,0
"E10","Esame3",0,0
"E10","Esame4",0,0
"E10","Esame5",0,0
"E10","Esame6",0,0
"E10","Esame7",0,0
"E10","Esame8",0,0
"E10","Esame9",0,0
"E10","U1",0,0
"E10","U10",.0038434,212
"E10","U11",0,0
"E10","U12",0,0
"E10","U13",0,0
"E10","U14",0,0
"E10","U15",0,0
"E10","U16",0,0
"E10","U17",0,0
"E10","U18",0,0
"E10","U19",0,0
"E10","U2",0,0
"E10","U20",0,0
"E10","U21",0,0
"E10","U22",0,0
"E10","U3",0,0
"E10","U4",0,0
"E10","U5",0,0
"E10","U6",0,0
"E10","U7",0,0
"E10","U8",0,0
"E10","U9",0,0
"E11","Enew1",.0031266,61
"E11","Enew10",.0151866,296
"E11","Enew11",.0663792,1293
"E11","Enew12",.0006293,12
"E11","Enew13",.0039972,78
"E11","Enew14",.0028617,56
"E11","Enew15",.0105292,206
"E11","Enew16",.0045697,89
"E11","Enew17",.0101587,198
"E11","Enew18",.0002064,4
"E11","Enew19",.000618,12
"E11","Enew2",.0014434,28
"E11","Enew20",.000513,10
"E11","Enew21",.0015848,31
"E11","Enew22",.0021084,41
"E11","Enew3",.0006128,12
"E11","Enew4",.0001563,3
"E11","Enew5",.0002532,5
"E11","Enew6",.0015314,30
"E11","Enew7",.0002576,5
"E11","Enew8",.002405,47
"E11","Enew9",.0004058,8
"E11","Esame1",0,0
"E11","Esame10",0,0
"E11","Esame11",.8604037,16790
"E11","Esame12",0,0
"E11","Esame13",0,0
"E11","Esame14",0,0
"E11","Esame15",0,0
"E11","Esame16",0,0
"E11","Esame17",0,0
"E11","Esame18",0,0
"E11","Esame19",0,0
"E11","Esame2",0,0
"E11","Esame20",0,0
"E11","Esame21",0,0
"E11","Esame22",0,0
"E11","Esame3",0,0
"E11","Esame4",0,0
"E11","Esame5",0,0
"E11","Esame6",0,0
"E11","Esame7",0,0
"E11","Esame8",0,0
"E11","Esame9",0,0
"E11","U1",0,0
"E11","U10",0,0
"E11","U11",.0100623,196
"E11","U12",0,0
"E11","U13",0,0
"E11","U14",0,0
"E11","U15",0,0
"E11","U16",0,0
"E11","U17",0,0
"E11","U18",0,0
"E11","U19",0,0
"E11","U2",0,0
"E11","U20",0,0
"E11","U21",0,0
"E11","U22",0,0
"E11","U3",0,0
"E11","U4",0,0
"E11","U5",0,0
"E11","U6",0,0
"E11","U7",0,0
"E11","U8",0,0
"E11","U9",0,0
"E12","Enew1",.0039162,70
"E12","Enew10",.001502,27
"E12","Enew11",.0009011,16
"E12","Enew12",.0659915,1177
"E12","Enew13",.0023831,43
"E12","Enew14",.0013014,23
"E12","Enew15",.0014505,26
"E12","Enew16",.0045153,81
"E12","Enew17",.0056312,101
"E12","Enew18",.0003978,7
"E12","Enew19",.0026498,47
"E12","Enew2",.0019172,34
"E12","Enew20",.0015849,28
"E12","Enew21",.0020879,37
"E12","Enew22",.0035833,64
"E12","Enew3",.0010517,19
"E12","Enew4",.0008793,16
"E12","Enew5",.0001157,2
"E12","Enew6",.0012313,22
"E12","Enew7",.0003332,6
"E12","Enew8",.0010498,19
"E12","Enew9",.0006113,11
"E12","Esame1",0,0
"E12","Esame10",0,0
"E12","Esame11",0,0
"E12","Esame12",.88666,15796
"E12","Esame13",0,0
"E12","Esame14",0,0
"E12","Esame15",0,0
"E12","Esame16",0,0
"E12","Esame17",0,0
"E12","Esame18",0,0
"E12","Esame19",0,0
"E12","Esame2",0,0
"E12","Esame20",0,0
"E12","Esame21",0,0
"E12","Esame22",0,0
"E12","Esame3",0,0
"E12","Esame4",0,0
"E12","Esame5",0,0
"E12","Esame6",0,0
"E12","Esame7",0,0
"E12","Esame8",0,0
"E12","Esame9",0,0
"E12","U1",0,0
"E12","U10",0,0
"E12","U11",0,0
"E12","U12",.0082548,147
"E12","U13",0,0
"E12","U14",0,0
"E12","U15",0,0
"E12","U16",0,0
"E12","U17",0,0
"E12","U18",0,0
"E12","U19",0,0
"E12","U2",0,0
"E12","U20",0,0
"E12","U21",0,0
"E12","U22",0,0
"E12","U3",0,0
"E12","U4",0,0
"E12","U5",0,0
"E12","U6",0,0
"E12","U7",0,0
"E12","U8",0,0
"E12","U9",0,0
"E13","Enew1",.0053367,243
"E13","Enew10",.0016977,77
"E13","Enew11",.0016423,74
"E13","Enew12",.0010039,46
"E13","Enew13",.0803882,3648
"E13","Enew14",.0037901,172
"E13","Enew15",.003709,168
"E13","Enew16",.0085935,390
"E13","Enew17",.0083839,381
"E13","Enew18",.000347,16
"E13","Enew19",.0028186,128
"E13","Enew2",.001002,45
"E13","Enew20",.0009994,45
"E13","Enew21",.0038153,173
"E13","Enew22",.0040645,185
"E13","Enew3",.0005859,26
"E13","Enew4",.0004364,20
"E13","Enew5",.0001537,7
"E13","Enew6",.0007524,34
"E13","Enew7",.0002832,13
"E13","Enew8",.0022792,103
"E13","Enew9",.0009071,41
"E13","Esame1",0,0
"E13","Esame10",0,0
"E13","Esame11",0,0
"E13","Esame12",0,0
"E13","Esame13",.8500072,38532
"E13","Esame14",0,0
"E13","Esame15",0,0
"E13","Esame16",0,0
"E13","Esame17",0,0
"E13","Esame18",0,0
"E13","Esame19",0,0
"E13","Esame2",0,0
"E13","Esame20",0,0
"E13","Esame21",0,0
"E13","Esame22",0,0
"E13","Esame3",0,0
"E13","Esame4",0,0
"E13","Esame5",0,0
"E13","Esame6",0,0
"E13","Esame7",0,0
"E13","Esame8",0,0
"E13","Esame9",0,0
"E13","U1",0,0
"E13","U10",0,0
"E13","U11",0,0
"E13","U12",0,0
"E13","U13",.0170028,775
"E13","U14",0,0
"E13","U15",0,0
"E13","U16",0,0
"E13","U17",0,0
"E13","U18",0,0
"E13","U19",0,0
"E13","U2",0,0
"E13","U20",0,0
"E13","U21",0,0
"E13","U22",0,0
"E13","U3",0,0
"E13","U4",0,0
"E13","U5",0,0
"E13","U6",0,0
"E13","U7",0,0
"E13","U8",0,0
"E13","U9",0,0
"E14","Enew1",.0035964,115
"E14","Enew10",.0009218,29
"E14","Enew11",.0013083,42
"E14","Enew12",.0010535,34
"E14","Enew13",.0052288,168
"E14","Enew14",.0911472,2922
"E14","Enew15",.0029778,95
"E14","Enew16",.0045028,144
"E14","Enew17",.0057429,182
"E14","Enew18",.0015805,51
"E14","Enew19",.0069058,220
"E14","Enew2",.0005698,18
"E14","Enew20",.0039755,128
"E14","Enew21",.0051557,165
"E14","Enew22",.0063932,204
"E14","Enew3",.0004467,14
"E14","Enew4",.0007075,23
"E14","Enew5",.0002122,7
"E14","Enew6",.0002733,9
"E14","Enew7",.0001867,6
"E14","Enew8",.001194,39
"E14","Enew9",.0006351,20
"E14","Esame1",0,0
"E14","Esame10",0,0
"E14","Esame11",0,0
"E14","Esame12",0,0
"E14","Esame13",0,0
"E14","Esame14",.8388005,26788
"E14","Esame15",0,0
"E14","Esame16",0,0
"E14","Esame17",0,0
"E14","Esame18",0,0
"E14","Esame19",0,0
"E14","Esame2",0,0
